Project name,Source type,Language,Development toolset,Team size,Age,Source,Link,Application type,Application size,Operating system,Number of versions,1st vc increments,2nd vc increments,3rd vc increments,4th vc increments,Suffix number increments,1st vc number of jumps,1st vc sum of jumps,1st vc avg of jumps,2nd vc number of jumps,2nd vc sum of jumps,2nd vc avg of jumps,3rd vc number of jumps,3rd vc sum of jumps,3rd vc avg of jumps,4th vc number of jumps,4th vc sum of jumps,4th vc avg of jumps,Suffix number of jumps,Suffix sum of jumps,Suffix avg of jumps,1st vc number of empty jumps,1st vc sum of empty jumps,1st vc avg of empty jumps,2nd vc number of empty jumps,2nd vc sum of empty jumps,2nd vc avg of empty jumps,3rd vc number of empty jumps,3rd vc sum of empty jumps,3rd vc avg of empty jumps,4th vc number of empty jumps,4th vc sum of empty jumps,4th vc avg of empty jumps,Suffix number of empty jumps,Suffix sum of empty jumps,Suffix avg of empty jumps,1st vc avg cycle length,2nd vc avg cycle length,3rd vc avg cycle length,4th vc avg cycle length,Suffix number avg cycle length,Number of megalomania severities,Sum of megalomania severities,Average of megalomania severities,Aggregated increments,Aggregated jumps,Aggregated empty jumps,Aggregated cycle length,Aggregated inconsistency score
flashplayer,Proprietary,C,--,--,10.9,android_archive,"http://helpx.adobe.com/flash-player/kb/archived-flash-player-versions.html,http://helpx.adobe.com/flash-player/flash-player-releasenotes.html",Multimedia,18.2,Windows,43,1,3,1,10,0,0,0.0,0,0,0.0,0,6,194.0,32.333333333333336,31,451.0,14.548387096774194,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,21.5,8.6,5.375,1.0238095238095237,21.5,0.0,0.0,0,15.0,43.0,0.0,11.599761904761905,43.0
flashplayer,Proprietary,C,--,--,10.9,archive,"http://helpx.adobe.com/flash-player/kb/archived-flash-player-versions.html,http://helpx.adobe.com/flash-player/flash-player-releasenotes.html",Multimedia,18.2,Windows,121,26,21,1,4,0,33,292.0,8.848484848484848,57,158.0,2.7719298245614037,86,19502.0,226.7674418604651,114,14126.0,123.91228070175438,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1.9516129032258065,1.3010752688172043,1.2222222222222223,1.0083333333333333,8.066666666666666,0.0,0.0,0,52.0,589.0,0.0,2.7099820788530464,589.0
flashplayer,Proprietary,C,--,--,10.9,release_notes,"http://helpx.adobe.com/flash-player/kb/archived-flash-player-versions.html,http://helpx.adobe.com/flash-player/flash-player-releasenotes.html",Multimedia,18.2,Windows,229,8,17,12,8,0,53,308.0,5.811320754716981,25,108.0,4.32,112,20423.0,182.34821428571428,167,60878.0,364.5389221556886,0,0.0,0,0,0.0,0,0,0.0,0,2,6.0,3.0,2,6.0,3.0,0,0.0,0,3.4696969696969697,3.3676470588235294,1.4679487179487178,1.2793296089385475,6.735294117647059,0.0,0.0,0,45.0,678.0,6.0,3.263983294610965,684.0
mentalray,Proprietary,C++,--,--,2.5,documentation,http://docs.autodesk.com/MENTALRAY/2014/ENU/mental-ray-help/,Multimedia,1000,Windows,109,0,2,4,90,0,0,0.0,0,0,0.0,0,2,4.0,2.0,13,32.0,2.4615384615384617,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,12.11111111111111,12.11111111111111,12.11111111111111,1.0,12.11111111111111,0.0,0.0,0,96.0,17.0,0.0,9.88888888888889,17.0
ant,OSS,Java,Java,8,15,git,https://github.com/apache/ant.git,DevTool,6.1,Multiplatform,66,22,0,0,0,10,12,666.0,55.5,0,0.0,0,0,0.0,0,0,0.0,0,3,5.0,1.6666666666666667,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1.375,1.0,1.0,1.0,1.375,0.0,0.0,0,32.0,24.0,0.0,1.15,24.0
d3,OSS,JavaScript,JavaScript,77,4,git,https://github.com/mbostock/d3.git,Library,3,Multiplatform,172,2,37,119,0,0,0,0.0,0,6,43.0,7.166666666666667,7,35.0,5.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4.914285714285715,3.739130434782609,1.0683229813664596,1.0,4.914285714285715,2.0,2.0,1.0,158.0,19.0,0.0,3.1272049689441,20.0
git,OSS,C,VCS,815,9,git,https://github.com/git/git.git,DevTool,5.9,Multiplatform,486,2,10,73,159,129,0,0.0,0,0,0.0,0,4,22.0,5.5,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,3.0,3.0,74,7.0,3.5,0,0.0,0,5.586206896551724,5.5227272727272725,3.4225352112676055,1.0,1.8692307692307693,9.0,10.0,1.1111111111111112,373.0,8.0,7.0,3.480140029955474,16.11111111111111
gradle,OSS,Java,Groovy,119,6,git,https://github.com/gradle/gradle.git,DevTool,12,Multiplatform,78,2,18,5,0,27,0,0.0,0,2,11.0,5.5,0,0.0,0,0,0.0,0,2,2.0,1.0,0,0.0,0,0,0.0,0,8,5.0,2.5,0,0.0,0,0,0.0,0,3.391304347826087,2.0,1.0,1.0,1.2,1.0,1.0,1.0,52.0,4.0,5.0,1.7182608695652175,10.0
groovy-core,OSS,Java,Groovy,101,11,git,https://github.com/groovy/groovy-core.git,Language,21,Multiplatform,136,1,9,56,0,38,0,0.0,0,1,4.0,4.0,4,15.0,3.75,0,0.0,0,15,22.0,1.4666666666666666,0,0.0,0,0,0.0,0,9,3.0,3.0,0,0.0,0,0,0.0,0,5.037037037037037,4.387096774193548,1.1428571428571428,1.0,1.6585365853658536,3.0,3.0,1.0,104.0,11.0,3.0,2.645105507890716,15.0
jenkins,OSS,Java,--,294,8,git,https://github.com/jenkinsci/jenkins.git,DevTool,27,Multiplatform,307,0,243,19,0,4,0,0.0,0,15,1007.0,67.13333333333334,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0.0,1,0.0,0.0,22,9.0,2.590909090909091,2,6.0,3.0,1,0.0,0.0,10.964285714285714,1.1204379562043796,1.0199335548172757,1.0,6.673913043478261,0.0,0.0,0,266.0,45.0,9.0,4.1557140537571255,54.0
